id,published_at,views,likes,dislikes,comments,length
cAbTcAs9lxQ,2019-09-17T03:03:38Z,255679,27,0,3,PT1M5S
SumDHcnCRuU,2019-10-30T11:15:00Z,8752785,249401,0,11035,PT3M15S
lBCcmedmbhM,2019-01-11T21:43:02Z,2112655,35947,0,1208,PT2M4S
J1Yv24cM2os,2019-03-10T15:17:38Z,6004652,154414,0,13352,PT3M47S
Dx5qFachd3A,2019-01-15T15:15:41Z,66106477,373471,0,7,P0D
0LS0Z8fgiII,2019-07-20T17:58:46Z,6020587,74426,0,3310,PT3M30S
B3C6XVjpSJ4,2019-07-17T22:05:07Z,2468658,39187,0,2542,PT2M26S
755WWCmxaOU,2019-04-19T14:39:23Z,778605,5,0,0,PT31S
JyZ8wKTaHRk,2019-11-21T18:00:11Z,4686119,90976,0,3201,PT5M51S
tUX-frlNBJY,2019-11-20T16:00:09Z,5863026,177407,0,21243,PT6M34S
ohKPqGxotao,2019-05-18T16:00:09Z,3790039,57217,0,4342,PT2M23S
BijHBOcxZzw,2019-04-02T18:00:01Z,712786,23608,0,1108,PT2M12S
vX2dryLHGIE,2019-10-31T20:00:06Z,4334275,63015,0,4223,PT4M15S
FzZk2G5y1_E,2019-01-11T22:30:00Z,3854712,30497,0,2280,PT2M58S
kNtXOl1q9Rk,2019-10-07T18:07:23Z,698848,9,0,0,PT1M49S
fPiACLr2ac0,2019-06-12T02:49:01Z,355547,24,0,2,PT3M20S
uOCLYZdvSxo,2019-09-15T20:00:06Z,2583877,61792,0,4899,PT3M25S
-zeBwVrzuoI,2019-12-18T18:54:47Z,1836603,272,0,2,PT1M43S
WwgAwZkYVcg,2019-10-18T16:00:07Z,1984261,59471,0,867,PT2M4S
rMaeir_O_ZY,2019-10-04T13:00:17Z,366416,29,0,1,PT2M42S
hF2kTbXf1Iw,2019-06-04T22:13:50Z,375676,9233,0,579,PT2M25S
OzEfYvphugY,2019-08-14T23:51:14Z,340508,5,0,0,PT30S
uW3gbuNzsqs,2019-09-19T13:15:00Z,171796,1864,0,154,PT11M37S
l-kHz0EL9lw,2019-06-21T13:52:39Z,85784,233,0,17,PT1M50S
iwZSWRELnj4,2019-12-27T19:33:48Z,4012,46,0,0,PT3M8S
Yoxdwsa-CGw,2019-09-26T20:00:03Z,593367,5805,0,512,PT12M57S
M367lZPe0Ng,2019-01-17T16:04:58Z,3358,29,0,0,PT1M1S
X3HZEQb_FpM,2019-10-22T18:32:18Z,789788,4,0,0,PT16S
Wf-RjBqa_-Y,2019-11-13T17:00:09Z,309436,4112,0,424,PT10M2S
Sb8lDH8w-AI,2019-04-17T14:00:06Z,542365,4471,0,592,PT5M1S
Yb4EGj4_uS0,2019-12-27T18:00:03Z,1190989,14229,0,5024,PT5M44S
mLuIqviE1Ek,2019-06-24T03:00:02Z,3947457,81239,0,593,PT9M22S
n4QprS_0sn8,2019-07-06T17:00:00Z,134705,3698,0,72,PT2M48S
Yem0PQzowY0,2019-03-05T17:00:05Z,221129,7002,0,1241,PT10M2S
_43mQ66Invg,2019-08-15T06:58:45Z,425004,249,0,46,PT1M41S
74MhsMfgrr4,2019-06-27T03:00:00Z,296410,8977,0,248,PT8M2S
-Sd-WQ6Ur0Y,2019-03-29T21:53:16Z,154558,4759,0,0,PT2M18S
B-G--8AG63Y,2019-09-27T19:28:45Z,235822,6510,0,723,PT8M49S
61fM1pzKfXQ,2019-11-28T14:44:29Z,691,7,0,0,PT56S
FJy6mA2X0_Q,2019-04-17T03:00:00Z,218646,6046,0,155,PT8M56S
0yjLKLAZOaI,2019-04-07T15:00:00Z,504730,4556,0,270,PT10M7S
cmM0WUIiGKc,2019-04-24T20:00:02Z,345829,6202,0,1381,PT17M47S
0Nl9Aj8N7ew,2019-11-06T21:58:12Z,538769,7415,0,1291,PT12M12S
Pi4uirlI0k8,2019-06-07T21:13:48Z,603717,12397,0,941,PT16M52S
zB72p2-op5U,2019-06-12T15:58:17Z,180807,3897,0,328,PT4M5S
pU_6yEt-OTA,2019-05-13T20:30:00Z,314904,3256,0,660,PT11M59S
YJeQskL-zL0,2019-07-02T18:45:00Z,1907011,13537,0,646,PT11M27S
Feib6FW0vPQ,2019-10-02T00:32:54Z,471045,11964,0,1187,PT6M54S
Tq0CS9MuePY,2019-07-11T23:44:12Z,220648,4,0,0,PT2M42S
3z5A6kUMWsU,2019-09-04T13:00:00Z,222668,21,0,5,PT2M32S
Yem0PQzowY0,2019-03-05T17:00:05Z,221129,7002,0,1241,PT10M2S
_43mQ66Invg,2019-08-15T06:58:45Z,425004,249,0,46,PT1M41S
nTKqjnSxfIU,2019-09-21T15:18:33Z,317838,7006,0,953,PT3M55S
-Sd-WQ6Ur0Y,2019-03-29T21:53:16Z,154558,4759,0,0,PT2M18S
Umnt2faH-AY,2019-02-26T20:00:01Z,4014627,30158,0,1743,PT10M14S
61fM1pzKfXQ,2019-11-28T14:44:29Z,691,7,0,0,PT56S
aPjbv0lpzSI,2019-08-06T11:00:00Z,827417,13267,0,907,PT8M41S
PSfPAbUuGuM,2019-11-27T11:00:05Z,1786895,33966,0,2885,PT9M13S
I8uboVSf8rc,2019-12-04T20:15:02Z,813478,21155,0,1014,PT10M2S
zFhp4BHEVB4,2019-11-12T17:00:13Z,898709,11175,0,772,PT10M48S
8IBrG3dPrwI,2019-07-08T15:00:00Z,250100,4891,0,548,PT9M28S
cmM0WUIiGKc,2019-04-24T20:00:02Z,345829,6202,0,1381,PT17M47S
Pi4uirlI0k8,2019-06-07T21:13:48Z,603717,12397,0,941,PT16M52S
AD4ibc0mCZc,2019-11-22T21:45:00Z,1441704,18067,0,2737,PT13M13S
nJvXDhM025g,2019-07-28T03:00:04Z,381213,10469,0,870,PT10M6S
lstVIbf1Svs,2019-06-17T11:00:07Z,765202,19981,0,299,PT11M6S
978_dzSPiMg,2019-12-23T11:00:01Z,171895,3497,0,954,PT10M1S
Qs8fLxYFWQ8,2019-10-17T19:00:02Z,415512,5091,0,409,PT10M8S
zB72p2-op5U,2019-06-12T15:58:17Z,180807,3897,0,328,PT4M5S
27bLM4ZJ4qU,2019-05-22T15:00:01Z,294109,4701,0,370,PT9M21S
71oZLogDeSY,2019-11-22T11:00:02Z,269257,4672,0,279,PT9M8S
HlI3TQOd5QM,2019-02-19T20:00:00Z,1290377,7560,0,413,PT10M16S
DTDASnq9BsY,2019-12-30T11:05:28Z,247027,7776,0,286,PT2M13S
YJeQskL-zL0,2019-07-02T18:45:00Z,1907011,13537,0,646,PT11M27S
deSdfZb1l5g,2019-10-06T14:00:09Z,379965,4329,0,186,PT10M22S
MK1J_RFXizk,2019-11-18T17:00:03Z,205394,6964,0,470,PT8M15S
aocd1QIYSp0,2019-05-01T20:00:01Z,448077,3600,0,290,PT11M
z90aPpdKB7Q,2019-05-04T18:00:05Z,50312,1139,0,57,PT1M11S
aa2lL6BGQ3c,2019-09-19T20:00:02Z,1056244,27823,0,2757,PT10M12S
vRNXpZVby1U,2019-05-27T20:00:04Z,721288,14030,0,1340,PT10M14S
OwLb1X-ZFfM,2019-12-29T05:00:04Z,543623,100,0,5,PT22M35S
3vdWH0nNmiw,2019-04-04T19:00:00Z,418062,3971,0,578,PT7M22S
u4TWyD8jkFg,2019-01-28T23:35:48Z,1289252,7340,0,327,PT1H44M1S
NpaXmQMnw3c,2019-06-05T23:51:12Z,247671,7358,0,1067,PT11M34S
tXF7rv4jIAw,2019-01-30T18:52:01Z,357211,17308,0,650,PT3M31S
zjz99-pFtfY,2019-06-04T11:00:10Z,750434,19215,0,1483,PT10M1S
ZXjqC0EBzoM,2019-11-01T17:00:06Z,217917,6127,0,395,PT9M22S
GcVq11rNQ2Q,2019-05-07T18:30:00Z,10354022,144667,0,6417,PT2M12S
thSVZv0tMTk,2019-03-14T03:00:06Z,949607,19074,0,643,PT8M46S
mtXASss7EY0,2019-11-30T09:45:48Z,7304456,20686,0,0,P0D
Q_EjuxvUO70,2019-03-02T23:57:41Z,995322,19172,0,1682,PT22M9S
ar9DyQYCT0A,2019-09-16T14:56:08Z,428729,53,0,1,PT1M20S
ihBLsxMSVRQ,2019-06-12T10:00:07Z,914101,115,0,7,PT20M49S
iU-rrLJG9u0,2019-02-04T12:00:07Z,2360125,32674,0,1066,PT5M5S
qHIk_qdNFy0,2019-05-31T15:59:51Z,17301147,0,0,0,P0D
JnCSsQ4HLww,2019-11-30T03:59:46Z,3259912,15101,0,299,PT7M54S
iI-vZru7orY,2019-06-19T14:18:30Z,5981259,44301,0,4858,PT36S
xJyl75x6hiE,2019-07-27T17:00:08Z,9352507,116685,0,3504,PT4M29S
VdxWtVmWt5U,2019-12-10T00:00:25Z,486738,9220,0,416,PT20M44S
Jf1o8rdqwyE,2019-04-18T19:34:51Z,14777294,135626,0,4727,PT3M35S
i9ZbrsPjZ_g,2019-02-11T18:00:07Z,3422947,48971,0,2702,PT6M5S
VPldeLBhC9U,2019-03-23T01:09:09Z,225818,3265,0,526,PT12M55S
D2BXCzlOe4M,2019-06-16T07:06:44Z,617306,3005,0,46,PT6M53S
9sz5DNk4peA,2019-12-06T21:03:52Z,244256,1634,0,71,PT11M6S
3XNDHW9JGOE,2019-11-29T05:23:58Z,4176103,171,0,12,PT3M15S
rQwFzNi4TtI,2019-08-05T00:00:03Z,8453750,34775,0,1091,PT5M9S
DLSAnjoN70k,2019-08-11T16:45:00Z,7298235,120726,0,6958,PT5M37S
xvVu8Kbpuqg,2019-11-18T20:30:04Z,9640442,169087,0,10548,PT5M49S
RL1TRJRXnFE,2019-01-11T22:32:45Z,346661,5061,0,195,PT2M25S
SmwKGuSroOs,2019-12-18T01:42:50Z,600906,2481,0,94,PT1H50M51S
coYw-eVU0Ks,2019-01-22T07:21:31Z,178061212,0,0,0,P0D
q4tp4KeQRsI,2019-01-12T21:17:48Z,100990,2228,0,156,PT2M53S
UJtl7XMOutE,2019-02-23T08:00:08Z,14579,223,0,0,PT25M52S
w3zH8WINixw,2019-06-20T16:52:43Z,69,10,0,0,PT28S
oaVvnRQFfgg,2019-07-31T10:56:11Z,28,16,0,2,PT15S
cwBtZp3tBdU,2019-01-13T17:49:43Z,110026,2038,0,97,PT3M36S
p78oLioAuqs,2019-12-02T22:57:00Z,984877,23529,0,356,PT4M
_9uubGlzlAY,2019-02-05T17:00:06Z,17214,164,0,9,PT3M54S
hy3BTr43q5M,2019-01-19T13:00:09Z,35390,229,0,25,PT3M56S
8cX4TCDFVZM,2019-07-25T20:05:07Z,209165,6992,0,833,PT5M57S
ioj9tgu-RD4,2019-06-21T04:01:29Z,2627,85,0,8,PT48S
ksnCXYD94I4,2019-04-07T10:13:21Z,6323,140,0,2,PT39S
6IZ2N4EidRU,2019-05-24T15:00:00Z,479578,15602,0,270,PT8M27S
Nx_4SrXbtwI,2019-12-12T14:27:22Z,14772788,187373,0,3820,PT28M2S
Q90RGwuEikk,2019-12-25T21:54:11Z,47656,848,0,118,PT8M35S
k-9TsVLtRI4,2019-10-15T09:00:13Z,4212249,112873,0,3053,PT4M49S
DxmRK6wKP_o,2019-05-23T15:47:33Z,247,19,0,0,PT23S
dDOKD1X2PHs,2019-12-28T11:00:12Z,137965,599,0,77,PT5M12S
eLVJ7UOq5nU,2019-02-20T19:00:01Z,35859,459,0,21,PT4M7S
OW6BxNXTsfU,2019-11-20T11:30:00Z,279223,1916,0,14,PT3M5S
-skE9bCJK7U,2019-07-11T02:54:50Z,1033125,1484,0,181,PT2M45S
5BBix55KqcY,2019-03-08T00:00:00Z,32900,281,0,10,PT4M39S
0n12KOY-Vmc,2019-08-09T15:43:56Z,24361,209,0,3,PT3M13S
E2nzq09riLI,2019-08-30T08:07:42Z,86,11,0,0,PT28S
E7RDduyi2ps,2019-11-29T12:24:27Z,274,5,0,0,PT56S
PTYRl02Ty3w,2019-12-01T00:30:02Z,3632,42,0,6,PT16M15S
UrnLQsHZz-U,2019-04-27T00:40:44Z,2396,111,0,7,PT1M43S
XjJ7o-8SwI4,2019-02-01T00:00:02Z,12363,240,0,6,PT4M9S
VKdIwjDNvGc,2019-11-22T13:33:30Z,2555,18,0,0,PT6M37S
d31wwtoph3M,2019-04-07T01:00:00Z,76055,377,0,43,PT5M40S
eTBeX3Zf3BE,2019-07-20T12:28:15Z,12882,105,0,11,PT17M18S
PuYgZzkeJGg,2019-06-24T13:41:59Z,4511948,34193,0,1709,PT10M2S
nsiAi1mFs0g,2019-06-04T13:44:19Z,7580591,51159,0,2459,PT10M21S
T4nm0t77gpA,2019-02-21T00:00:04Z,85549,593,0,13,PT3M44S
J_rWzqyBsuM,2019-04-06T22:35:02Z,181401,3916,0,106,PT3M56S
ARDJy_KWXgY,2019-03-30T01:16:30Z,303026,3400,0,630,PT12M57S
1WbWUJ9zjNs,2019-05-23T11:08:23Z,6130,52,0,2,PT3M32S
Nx_4SrXbtwI,2019-12-12T14:27:22Z,14772788,187373,0,3820,PT28M2S
T4nm0t77gpA,2019-02-21T00:00:04Z,85549,593,0,13,PT3M44S
a7H36gTnk2k,2019-10-15T19:28:13Z,210044,2441,0,69,PT1M5S
1WbWUJ9zjNs,2019-05-23T11:08:23Z,6130,52,0,2,PT3M32S
J_rWzqyBsuM,2019-04-06T22:35:02Z,181401,3916,0,106,PT3M56S
d31wwtoph3M,2019-04-07T01:00:00Z,76055,377,0,43,PT5M40S
VKdIwjDNvGc,2019-11-22T13:33:30Z,2555,18,0,0,PT6M37S
_LkRQT1Z-vc,2019-08-25T14:00:04Z,537333,7997,0,635,PT10M31S
PTYRl02Ty3w,2019-12-01T00:30:02Z,3632,42,0,6,PT16M15S
eTBeX3Zf3BE,2019-07-20T12:28:15Z,12882,105,0,11,PT17M18S
PuYgZzkeJGg,2019-06-24T13:41:59Z,4511948,34193,0,1709,PT10M2S
nsiAi1mFs0g,2019-06-04T13:44:19Z,7580591,51159,0,2459,PT10M21S
HfInepwv_qM,2019-02-22T02:30:19Z,18380,503,0,21,PT3M36S
LMtUy5rUFR0,2019-07-06T12:27:44Z,27840,210,0,35,PT17M33S
-7JFh-QrhCU,2019-01-04T08:26:40Z,1499580,9778,0,386,PT48M19S
GmmAgwyUb00,2019-10-30T07:11:07Z,133675,4310,0,8,PT16S
4o5SqZHn9nA,2019-09-13T11:28:07Z,239559,1574,0,31,PT11M17S
aiwOfdzjICE,2019-12-24T05:25:19Z,4886,73,0,2,PT57S
RnkLOE0m7p8,2019-12-24T05:24:58Z,610,7,0,0,PT1M
I29guXT-7As,2019-12-24T05:25:10Z,541,5,0,0,PT56S
2yRiPb1ltT4,2019-04-14T13:00:00Z,29071,170,0,59,PT17M8S
3zG34kAVIwU,2019-04-01T08:51:34Z,828102,24,0,0,PT1M37S
V6VxxUddOrw,2019-05-26T12:28:45Z,150054,742,0,117,PT16M37S
UQPXSyLv86U,2019-08-04T17:49:45Z,3754,31,0,0,PT7M56S
aBR2yW7m3KU,2019-04-20T23:01:43Z,105,7,0,0,PT56S
GwH9xyrwVbM,2019-12-18T13:45:00Z,16959,207,0,25,PT17M14S
4hWYrWzAXBc,2019-11-23T02:00:00Z,1254152,6731,0,185,PT6M58S
JJ46MguQoJE,2019-06-20T06:29:18Z,976496,4419,0,111,PT4M30S
ilTIrKgO_ZE,2019-07-20T07:06:07Z,6315107,25210,0,214,PT6M35S
efF92rl95NQ,2019-07-19T11:28:19Z,780437,12991,0,577,PT12M21S
SGnAUJoI8GQ,2019-05-09T11:26:02Z,232573,2010,0,82,PT43M46S
6o6jPZOKepQ,2019-07-07T23:58:18Z,290629,7129,0,457,PT26M16S
MxVVdCgHghQ,2019-10-02T06:10:06Z,553,0,0,0,PT16S
PuYgZzkeJGg,2019-06-24T13:41:59Z,4511948,34193,0,1709,PT10M2S
nsiAi1mFs0g,2019-06-04T13:44:19Z,7580591,51159,0,2459,PT10M21S
HfInepwv_qM,2019-02-22T02:30:19Z,18380,503,0,21,PT3M36S
LMtUy5rUFR0,2019-07-06T12:27:44Z,27840,210,0,35,PT17M33S
-7JFh-QrhCU,2019-01-04T08:26:40Z,1499580,9778,0,386,PT48M19S
GmmAgwyUb00,2019-10-30T07:11:07Z,133675,4310,0,8,PT16S
LPv7Dit9sSU,2019-09-26T07:56:33Z,363586,3279,0,112,PT11M26S
4o5SqZHn9nA,2019-09-13T11:28:07Z,239559,1574,0,31,PT11M17S
aiwOfdzjICE,2019-12-24T05:25:19Z,4886,73,0,2,PT57S
RnkLOE0m7p8,2019-12-24T05:24:58Z,610,7,0,0,PT1M
I29guXT-7As,2019-12-24T05:25:10Z,541,5,0,0,PT56S
2yRiPb1ltT4,2019-04-14T13:00:00Z,29071,170,0,59,PT17M8S
V6VxxUddOrw,2019-05-26T12:28:45Z,150054,742,0,117,PT16M37S
UQPXSyLv86U,2019-08-04T17:49:45Z,3754,31,0,0,PT7M56S
aBR2yW7m3KU,2019-04-20T23:01:43Z,105,7,0,0,PT56S
GwH9xyrwVbM,2019-12-18T13:45:00Z,16959,207,0,25,PT17M14S
4hWYrWzAXBc,2019-11-23T02:00:00Z,1254152,6731,0,185,PT6M58S
JJ46MguQoJE,2019-06-20T06:29:18Z,976496,4419,0,111,PT4M30S
ilTIrKgO_ZE,2019-07-20T07:06:07Z,6315107,25210,0,214,PT6M35S
efF92rl95NQ,2019-07-19T11:28:19Z,780437,12991,0,577,PT12M21S
6_SqW5byDMo,2019-10-30T11:00:00Z,310467,4176,0,415,PT8M9S
SGnAUJoI8GQ,2019-05-09T11:26:02Z,232573,2010,0,82,PT43M46S
6o6jPZOKepQ,2019-07-07T23:58:18Z,290629,7129,0,457,PT26M16S
MxVVdCgHghQ,2019-10-02T06:10:06Z,553,0,0,0,PT16S
XJoWO-xlVTk,2019-12-29T18:00:04Z,1919799,81236,0,2255,PT3M48S
LyHcjgwFxkk,2019-06-13T04:39:54Z,203992,1326,0,31,PT6M21S
Ngja0eQ9mpk,2019-11-11T06:44:30Z,267,0,0,0,PT19S
AU3TR4PKvTA,2019-11-02T03:01:50Z,355,0,0,0,PT4S
iw8iprGMmPU,2019-11-29T12:14:28Z,593,5,0,0,PT31S
VduMMamAVdI,2019-05-23T11:53:36Z,168,12,0,0,PT27S
rBdV1iam5Ts,2019-03-03T05:54:10Z,6098,63,0,6,PT55S
aDYZuHLfQmw,2019-04-30T02:00:01Z,752581,4366,0,87,PT4M43S
NSBabkVHeNE,2019-07-18T06:10:22Z,1587105,5293,0,105,PT6M48S
79UGt02ow5o,2019-02-22T22:25:47Z,3584,65,0,11,PT2M57S
