id,published_at,views,likes,dislikes,comments,length
v1w1bvsMt8s,2013-02-04T15:00:39Z,200377,3867,0,304,PT11M42S
qMkYlIA7mgw,2013-06-05T21:35:43Z,27006549,302388,0,15248,PT4M42S
Aj0ftqTGMiM,2013-10-16T23:16:26Z,232232,3145,0,619,PT36S
JsWxLX6mfN8,2013-05-09T18:31:18Z,326483,31,0,3,PT31S
KfWNOnns1FM,2013-10-10T08:29:45Z,1815,2,0,0,PT4M18S
O2hO4_UEe-4,2013-12-23T16:00:02Z,9565097,201619,0,16215,PT6M41S
GOiIxqcbzyM,2013-02-25T17:30:17Z,2398149,58259,0,7557,PT5M56S
M1ShuAEIfGw,2013-11-04T04:37:16Z,251213,1313,0,50,PT2M16S
ptHIA5bMnio,2013-01-22T11:07:33Z,254079,465,0,76,PT3M50S
d8-KzVHkMaU,2013-02-01T10:20:34Z,577617,3094,0,264,PT4M47S
n5pVz6yJkIk,2013-08-07T18:53:12Z,2156,5,0,0,PT2M27S
2xlQKl5hYZU,2013-02-28T11:10:47Z,2063543,44028,0,2605,PT3M9S
wwsQ3BpANjI,2013-03-04T21:05:41Z,2269,10,0,2,PT1M54S
Txf5_vYJuzw,2013-01-30T13:36:04Z,255279,579,0,153,PT3M2S
Pb8kUvKcVTw,2013-10-26T01:14:31Z,1149850,4138,0,213,PT2M45S
z_kx-BSIJb0,2013-08-14T02:05:14Z,373638,11228,0,950,PT24M16S
3DYZuZUQVdc,2013-07-04T23:22:35Z,1203685,13730,0,942,PT2M46S
0X3VnZahlIA,2013-10-23T10:20:40Z,1380,1,0,0,PT2M36S
LnyE0SzHT_E,2013-01-29T00:16:52Z,32136,114,0,9,PT8M9S
0jvSDe_qTo4,2013-12-23T16:19:47Z,317,5,0,0,PT16S
bCtrgD5Ns7Q,2013-01-22T09:41:03Z,2221,4,0,0,PT3M16S
NXAkq0GgMXE,2013-02-12T02:08:28Z,1149,5,0,0,PT24S
xsuxbwdRZz0,2013-09-18T19:39:20Z,45596,152,0,0,PT3M7S
Dv1YnSOVBjs,2013-11-07T02:54:25Z,270899,948,0,147,PT5M26S
EwqJRKn1QXc,2013-02-01T10:21:03Z,548421,2187,0,166,PT4M37S
Hi19UW_CQnw,2013-07-02T21:58:17Z,1218,1,0,0,PT5M5S
EhOywAqm4iM,2013-12-04T20:01:18Z,976,21,0,3,PT1M54S
9Xas3mPE8aU,2013-09-29T23:16:28Z,3222,74,0,5,PT2M25S
BJIZPocqIxU,2013-03-15T06:00:23Z,485,10,0,0,PT35S
jZLr22O9dDM,2013-04-27T20:15:09Z,526,8,0,0,PT33S
KD0d9pF36Dc,2013-10-25T15:02:31Z,68269,932,0,24,PT4M10S
Pv6AqfoDilk,2013-03-11T19:51:40Z,2830,5,0,0,PT4M4S
wFg1I6ciKew,2013-10-08T15:25:26Z,1323,2,0,0,PT1M10S
K4M5j2TtIKM,2013-05-16T07:06:57Z,208190,2318,0,16,PT3M17S
Q08qeOsiJPc,2013-10-17T22:45:35Z,2961843,21,0,1,PT41S
fZ-7Bp9VMts,2013-06-06T08:51:06Z,224259,652,0,116,PT16M15S
WQtT_tHxFFI,2013-09-18T19:01:05Z,1119,6,0,0,PT2M18S
dB_fM8jsbGU,2013-10-29T08:00:00Z,202418,3512,0,991,PT3M54S
sKpvraF_a9I,2013-11-19T04:22:41Z,3201,64,0,1,PT3M48S
WQtT_tHxFFI,2013-09-18T19:01:05Z,1119,6,0,0,PT2M18S
sKpvraF_a9I,2013-11-19T04:22:41Z,3201,64,0,1,PT3M48S
cNesA10y9ZY,2013-02-04T03:25:12Z,1335,2,0,0,PT3M28S
cVijLHcM5yo,2013-12-28T20:54:25Z,7172,151,0,9,PT4M44S
oGSVWC3pC-8,2013-03-18T23:36:40Z,3944,103,0,18,PT4M26S
MxY60MtWywA,2013-06-08T12:53:38Z,19203,250,0,54,PT3M43S
K1jxqoVYJgA,2013-03-09T17:38:19Z,764,24,0,3,PT3M39S
3SM4u0bOlJk,2013-01-29T01:09:30Z,1330,40,0,3,PT4M9S
BPFeNJA-w5A,2013-12-15T16:29:06Z,26755,198,0,124,PT8M10S
eX5ndNVzZVU,2013-03-07T23:58:52Z,1092,6,0,0,PT3M39S
