id,published_at,length,views
0FFLFcB9xfQ,2018-02-02T20:23:21Z,PT1M53S,1110097
QZQyV9BB50E,2018-06-12T16:36:09Z,PT2M26S,1355561
LruaD7XhQ50,2018-11-26T13:27:21Z,PT8M55S,14347295
1Jmu9lqGgbc,2018-12-09T17:30:00Z,PT2M38S,22754928
K_0byLqPzCg,2018-11-21T07:39:15Z,PT29M34S,2496138
cZYNADOHhVY,2018-04-24T13:02:43Z,PT12M44S,9992384
eGPNEaZV6cc,2018-07-20T16:00:07Z,PT2M15S,5307992
WsDyRAPFBC8,2018-03-23T12:20:59Z,P0D,14196267
2eH0JbEE-6k,2018-09-26T19:33:27Z,PT3M35S,2210818
vqd1ifVXScs,2018-03-20T20:05:57Z,PT1M26S,266570
kdTxybWNwL4,2018-08-19T23:17:48Z,PT4M37S,3932413
-8tofSAtux4,2018-05-08T07:28:47Z,PT3M53S,492767
2CuRX8IN1Ic,2018-06-28T01:37:21Z,PT1M45S,1160036
bkzJAmkYYIw,2018-06-20T18:45:14Z,PT4M10S,3660193
fql4YTlajKQ,2018-01-17T10:58:03Z,PT50M5S,2184829
cJJAoO0X8bo,2018-10-13T19:50:02Z,PT1M51S,38836
QemEGvLEz_o,2018-08-21T08:54:24Z,PT1M40S,N/A
OLSClDXnB4o,2018-06-20T16:43:17Z,PT2M39S,337078
afRki2_aNKg,2018-11-04T01:10:33Z,PT2M15S,154392665
cQl0NA8T-pw,2018-03-05T17:44:10Z,PT9M4S,2330360
btg60-Dwrw8,2018-12-15T21:09:10Z,PT10M23S,476236
ymNiIEyrU00,2018-01-17T10:29:56Z,PT52M52S,2719096
a-6WlEr1rqU,2018-12-25T03:42:24Z,PT5M15S,219805
dafWN7E7f-I,2018-05-28T07:00:01Z,PT59M35S,N/A
h9vq5lmzv9I,2018-02-16T18:41:49Z,PT38M49S,N/A
S_tOWUNlxkI,2018-10-04T17:35:45Z,PT1M57S,155493
7SqTcudkVCg,2018-08-06T19:07:37Z,PT32S,3445
MRMdBWAZDHY,2018-03-14T09:00:02Z,PT42M6S,N/A
UVpw1lWrxco,2018-04-05T07:00:21Z,PT42M40S,N/A
qVm0H9r5oH0,2018-03-23T07:36:07Z,PT9M44S,209021
yrKMOA2VXN0,2018-05-21T07:00:03Z,PT42M23S,N/A
UD-30RmEAkU,2018-01-16T00:00:02Z,PT1H37M24S,N/A
rsQDjyxelz8,2018-07-02T07:00:03Z,PT42M8S,N/A
57Qeeu-ist4,2018-05-25T19:30:32Z,PT3M6S,263881
ge2wNH1pPyQ,2018-01-18T08:00:27Z,PT44M12S,N/A
ObNwkNEWVt4,2018-08-23T21:58:24Z,PT2M46S,2710
YW5PME75qRQ,2018-11-26T05:00:05Z,PT45M7S,N/A
L6JFtNmZRlc,2018-06-07T09:43:46Z,PT21M19S,N/A
K8y9vOR2e-I,2018-03-29T04:21:06Z,PT6M6S,234665
AiYr8kMAAYc,2018-11-12T16:09:17Z,PT24M14S,N/A
jb3rZ0n-4H4,2018-11-30T00:58:38Z,PT13M,1309032
ocy5TOMdSlY,2018-10-19T04:00:24Z,PT21M46S,N/A
MP6rUYMwROA,2018-07-25T08:09:42Z,PT4M7S,1547
BoW-nSpGYzM,2018-12-19T08:55:13Z,PT1M33S,N/A
sfcyn1oO-Dk,2018-10-27T22:28:27Z,PT13M1S,2018065
mbXrwzbyT7E,2018-08-24T20:16:30Z,PT4M24S,2431730
XDocYSrzcb8,2018-07-30T04:00:31Z,PT23M4S,N/A
zg9F3dTgERA,2018-08-23T04:00:10Z,PT42M3S,N/A
rtYJAmyVNnA,2018-12-07T11:43:03Z,PT42M16S,N/A
K1Q_mMdnWd4,2018-08-31T04:00:19Z,PT21M53S,N/A
jb3rZ0n-4H4,2018-11-30T00:58:38Z,PT13M,1309032
ocy5TOMdSlY,2018-10-19T04:00:24Z,PT21M46S,N/A
sfcyn1oO-Dk,2018-10-27T22:28:27Z,PT13M1S,2018065
XDocYSrzcb8,2018-07-30T04:00:31Z,PT23M4S,N/A
K1Q_mMdnWd4,2018-08-31T04:00:19Z,PT21M53S,N/A
bONF3B30LIk,2018-10-07T19:00:03Z,PT24M28S,1720
zg9F3dTgERA,2018-08-23T04:00:10Z,PT42M3S,N/A
rtYJAmyVNnA,2018-12-07T11:43:03Z,PT42M16S,N/A
KFzgU8IRC-U,2018-02-02T18:07:17Z,PT3M35S,N/A
ANsygpcVzwI,2018-10-23T01:00:24Z,PT42M35S,N/A
bwjbloXxvR4,2018-07-21T19:00:01Z,PT11M38S,259306
A6xe4tKdx_c,2018-11-23T17:00:00Z,PT2M49S,6612090
ks9VFcKCY_g,2018-12-24T11:23:35Z,PT49M37S,N/A
-5Ge_s9HTLE,2018-12-21T00:57:45Z,PT27M53S,1365811
A3AefrMdo6c,2018-11-16T12:28:23Z,PT3M49S,3404940
6m0Uv9WLMgA,2018-04-29T16:02:52Z,PT2M14S,23773853
dKheJRah9XY,2018-05-01T04:14:20Z,PT23M44S,N/A
4LkMap3IQv4,2018-09-29T13:30:01Z,PT57M16S,3091
GMNuFiZrKfc,2018-04-30T04:00:36Z,PT56M40S,N/A
ZeFH-fIdT1o,2018-07-13T12:51:57Z,PT42M34S,N/A
4U3-V9ZrsqM,2018-11-05T05:00:31Z,PT28M32S,N/A
NwHtQgIDo4E,2018-08-22T07:00:08Z,PT46M3S,N/A
o6oOXwjMF2Q,2018-10-01T17:00:07Z,PT25M3S,2623
g_MP6BENHEs,2018-01-11T23:43:14Z,PT2M33S,8721517
__C9bJjKUOA,2018-06-20T22:18:39Z,PT3M58S,1326562
VtABuZENxUI,2018-10-11T23:59:41Z,PT20M12S,N/A
s24xeFlOHsA,2018-01-23T05:00:01Z,PT23M50S,N/A
PIFlI1qu3VM,2018-08-13T07:00:08Z,PT1H25M29S,N/A
f47GNqm78M4,2018-01-30T08:00:40Z,PT20M12S,N/A
mYG1DA4vd-4,2018-08-29T19:00:06Z,PT17M19S,319889
5FlfEHr_rGU,2018-11-27T07:41:06Z,PT23M31S,N/A
y1aEAiSdeLY,2018-12-06T17:21:40Z,PT23M30S,N/A
s3vt6Iolhyo,2018-11-09T11:43:01Z,PT21M26S,N/A
-hN8UxnJDog,2018-02-19T08:00:54Z,PT42M15S,N/A
5QIas1Ku3bo,2018-04-04T07:01:13Z,PT1H23M38S,N/A
hLHLG8Gd2Xo,2018-11-14T05:00:47Z,PT41M28S,N/A
V3-Xe6Wt_60,2018-11-19T05:00:22Z,PT1H25M43S,N/A
OdJ3wTalKso,2018-12-18T05:00:51Z,PT42M34S,N/A
vc3Ub-DZ724,2018-05-09T03:00:05Z,PT9M37S,1978125
fu43sPI5y9s,2018-03-25T23:18:31Z,PT23M14S,N/A
XAHC0csxYhI,2018-03-08T19:00:02Z,PT11M57S,2940943
X7tQW5GdNU0,2018-01-21T08:00:22Z,PT11M18S,N/A
Ll1ZXz6kdjg,2018-11-14T11:26:59Z,PT21M31S,N/A
X7YtcJ0-pCU,2018-03-28T07:01:16Z,PT41M35S,N/A
p1kcrkW6iE0,2018-11-05T14:50:23Z,PT21M34S,N/A
-g4XAHJumRY,2018-11-16T03:28:39Z,PT18M16S,1778249
cFhq_Z-Mf74,2018-10-26T00:34:43Z,PT21M26S,N/A
IvHb2DDQFXI,2018-09-07T10:39:27Z,PT42M27S,N/A
aOXPVSRxttU,2018-02-02T06:00:01Z,PT4M18S,1994513
VHjD-cR60H8,2018-07-02T04:00:13Z,PT25M33S,N/A
5ECHAm7uFYg,2018-07-01T07:00:06Z,PT21M39S,N/A
5wO2ltdeObM,2018-08-08T04:00:15Z,PT44M3S,N/A
vlKaNyNbPXo,2018-04-09T07:01:32Z,PT21M45S,N/A
Yr_vk6e7GbQ,2018-09-03T04:00:37Z,PT22M5S,N/A
oCRDjVlN6lA,2018-03-26T07:02:16Z,PT21M39S,N/A
8fNUf-hQuiQ,2018-03-26T04:00:42Z,PT21M36S,N/A
rnu9AYTVkDw,2018-08-20T22:00:02Z,PT16M16S,92794
r8Jn5SCQkxA,2018-04-03T15:00:05Z,PT10M58S,175772
d7XW3DpFcsA,2018-07-30T07:00:18Z,PT21M44S,N/A
bs3xEhTPjAA,2018-04-12T18:30:01Z,PT5M30S,2631380
jR53HEy5EdE,2018-09-21T01:19:01Z,PT21M34S,N/A
Xz4qeiZomQo,2018-01-06T08:00:05Z,PT42M35S,N/A
qxHjC2V7tvc,2018-05-21T07:00:04Z,PT21M45S,N/A
m-uYqbMtZuw,2018-04-30T04:00:41Z,PT10M26S,N/A
FoiEqo2zyYI,2018-03-17T09:00:02Z,PT24M6S,N/A
j_YvxyCvRXs,2018-03-21T07:00:22Z,PT41M16S,N/A
Z-hV_5-DIsw,2018-09-28T12:00:56Z,PT10M29S,234662
CpFjGEnH2AU,2018-05-14T20:11:00Z,PT29M52S,N/A
PYVIz9WMagc,2018-07-21T09:00:17Z,PT23M42S,N/A
RJOrmf5Ykq4,2018-07-28T14:43:14Z,PT4M46S,2111831
o18_xbOH9SA,2018-11-12T04:10:12Z,PT24M40S,N/A
naX3GvvumWA,2018-11-03T17:00:07Z,PT4M24S,2921162
mvfjyRgYeKg,2018-09-03T04:00:39Z,PT21M45S,N/A
tUE1AYBrx6k,2018-06-05T04:00:04Z,PT26M2S,N/A
DYHvODnVdkA,2018-08-29T16:00:00Z,PT4M44S,5313119
NokZC2a9YFo,2018-07-05T08:57:25Z,PT1M3S,N/A
EBo5ZfWjD7M,2018-08-20T04:00:34Z,PT41M19S,N/A
trrZQfXmj1g,2018-05-17T11:16:20Z,PT4M3S,29560292
FBJRMUdfi-A,2018-09-22T17:01:35Z,PT4M31S,1258153
HPJIn1OhPL0,2018-04-16T04:00:47Z,PT11M48S,N/A
CBCbVHFzfXk,2018-10-20T20:00:00Z,PT18M41S,352298
kOVCe668zEo,2018-01-27T10:00:02Z,PT36M13S,N/A
pnXCn41CFbc,2018-09-10T04:00:48Z,PT11M47S,N/A
bONF3B30LIk,2018-10-07T19:00:03Z,PT24M28S,1720
3LYhmn7qWIw,2018-05-08T19:30:53Z,PT4M44S,721615
QGchZK6jJm8,2018-06-01T07:00:01Z,PT42M14S,N/A
nvowEqa6GXk,2018-03-29T07:00:02Z,PT21M17S,N/A
5uSz7oWBlkE,2018-04-20T07:00:03Z,PT29M9S,N/A
