ID,Year,View Count,Length (s)
pjAJswDB14s,2013,145004.0,63.0
qMkYlIA7mgw,2013,26994739.0,282.0
T8WpJlaZNZI,2013,34840.0,64.0
KfWNOnns1FM,2013,1814.0,258.0
81pvnaj3EI4,2013,34449.0,36.0
O2hO4_UEe-4,2013,9562648.0,401.0
GOiIxqcbzyM,2013,2397978.0,356.0
int3fI1YQjU,2013,144230.0,79.0
M2gEhJQt6iA,2013,60794.0,59.0
d8-KzVHkMaU,2013,577593.0,287.0
B5lo4zS2scs,2013,134781.0,58.0
_qzMAyBv_Us,2013,30607.0,87.0
4WOJhT9B1ew,2013,158841.0,392.0
n5pVz6yJkIk,2013,2156.0,147.0
vcfU4XpLNfE,2013,1212.0,27.0
h73o_UQq0OI,2013,206072.0,212.0
49FopVS_ZvA,2013,44044.0,37.0
0fjvGLKzfhQ,2013,299924.0,555.0
YIVarZeObQo,2013,1741378.0,411.0
w0ZEpzD1k_k,2013,493783.0,235.0
67P94248F_4,2013,224128.0,211.0
QLjg2R-QBcs,2013,22527.0,50.0
_uNi_go6Z6A,2013,175498.0,133.0
B2TDbNWFRmY,2013,8060.0,164.0
tcmEkjLwtG8,2013,383457.0,49.0
0X3VnZahlIA,2013,1380.0,156.0
LnyE0SzHT_E,2013,32134.0,489.0
0jvSDe_qTo4,2013,317.0,16.0
bCtrgD5Ns7Q,2013,2221.0,196.0
VasPrXAqZNg,2013,183474.0,362.0
OSk7LL5nMgw,2013,69335.0,50.0
xsuxbwdRZz0,2013,45591.0,187.0
EwqJRKn1QXc,2013,548416.0,277.0
WmOupJ9JirU,2013,154766.0,168.0
51jljY1GPAc,2013,201485.0,265.0
9Xas3mPE8aU,2013,3222.0,145.0
BJIZPocqIxU,2013,485.0,35.0
jZLr22O9dDM,2013,526.0,33.0
wFg1I6ciKew,2013,1323.0,70.0
qOpOkLtCDmw,2013,1994.0,150.0
WQtT_tHxFFI,2013,1119.0,138.0
cloifsiON40,2013,255084.0,532.0
5OQgDePAluM,2013,238199.0,208.0
sKpvraF_a9I,2013,3201.0,228.0
cNesA10y9ZY,2013,1335.0,208.0
cVijLHcM5yo,2013,7172.0,284.0
Q-i5J5_shAw,2013,324661.0,137.0
oGSVWC3pC-8,2013,3944.0,266.0
MxY60MtWywA,2013,19203.0,223.0
vMuKoDRFbQs,2013,800197.0,463.0
K1jxqoVYJgA,2013,764.0,219.0
3SM4u0bOlJk,2013,1330.0,249.0
p0YyJRjsQ1Q,2013,463721.0,369.0
ZgQbL0X2u5c,2013,19928.0,294.0
DnH1Zo9M9BQ,2013,1824.0,367.0
-HJK5MswFrs,2013,1515.0,278.0
CfHyJVRGRRs,2013,5178.0,277.0
kemmqFO6yrU,2013,3899.0,479.0
o4Y4wvzVQk4,2013,580.0,172.0
Hpm7fZ_JOTY,2013,350.0,194.0
BFGeY_XwI0Q,2013,15672.0,19.0
KkvjnXNLfP8,2013,666.0,38.0
ercfS9AaypA,2013,327.0,37.0
FGxZ38uPVCg,2013,2761.0,41.0
lhhh3In3IAo,2013,555.0,35.0
o4Y4wvzVQk4,2013,580.0,172.0
Hpm7fZ_JOTY,2013,350.0,194.0
B1c6fLErrKU,2013,400.0,51.0
H1sU2QRms2Q,2013,272.0,17.0
FGxZ38uPVCg,2013,2761.0,41.0
lhhh3In3IAo,2013,555.0,35.0
H1sU2QRms2Q,2013,272.0,17.0
B1c6fLErrKU,2013,400.0,51.0
BO5kbFt1Q2s,2013,237967.0,543.0
4jQF_FUevhY,2013,862.0,21.0
BO5kbFt1Q2s,2013,237967.0,543.0
4jQF_FUevhY,2013,862.0,21.0
thWqreAj0QA,2013,24681.0,120.0
cXX1VvBRaNQ,2013,417.0,35.0
nxbXSxCv2PM,2013,323.0,26.0
int3fI1YQjU,2013,144230.0,79.0
ERFyHc8AeZ0,2013,3087.0,148.0
OIcPjHtHyZo,2013,6875.0,158.0
C_z6Q_96LZo,2013,745.0,42.0
KT1UlytKtQU,2013,389.0,21.0
A6KLL8JDa0E,2013,1053.0,43.0
vz_HsQ1VOjM,2013,175413.0,417.0
-xva6lwpYJI,2013,4504.0,226.0
bgWajV_BRvc,2013,224096.0,292.0
zHtw-7z3S5k,2013,3076.0,228.0
4S6AyUBLM9I,2013,9592.0,219.0
FD2MroMsvdA,2013,40768.0,427.0
1jiBRFJvPck,2013,795.0,172.0
Fqzrpr2lgkY,2013,2764.0,192.0
hwNhI4jCeOk,2013,9359.0,720.0
O0LdTjxTCWU,2013,5363.0,204.0
U2w3MpYXS0M,2013,5534.0,235.0
WmLdqQ_oHY4,2013,63988.0,482.0
sDmyh9LEqhQ,2013,9710.0,577.0
5w9mKiZSadA,2013,2627.0,224.0
iA_X5gWAn_I,2013,638.0,40.0
N7GTBRWJHiA,2013,15671.0,190.0
