id,published_at,length,views
pjAJswDB14s,2013-11-08T20:03:07Z,PT1M3S,145004.0
qMkYlIA7mgw,2013-06-05T21:35:43Z,PT4M42S,26994739.0
T8WpJlaZNZI,2013-11-08T20:12:12Z,PT1M4S,34840.0
KfWNOnns1FM,2013-10-10T08:29:45Z,PT4M18S,1814.0
81pvnaj3EI4,2013-11-08T20:15:38Z,PT36S,34449.0
O2hO4_UEe-4,2013-12-23T16:00:02Z,PT6M41S,9562648.0
GOiIxqcbzyM,2013-02-25T17:30:17Z,PT5M56S,2397978.0
int3fI1YQjU,2013-07-24T11:24:41Z,PT1M19S,144230.0
8jUDBvwjiwA,2013-04-06T13:00:38Z,PT21M54S,
M2gEhJQt6iA,2013-11-08T20:16:48Z,PT59S,60794.0
d8-KzVHkMaU,2013-02-01T10:20:34Z,PT4M47S,577593.0
B5lo4zS2scs,2013-12-18T21:02:04Z,PT58S,134781.0
_qzMAyBv_Us,2013-11-08T20:17:56Z,PT1M27S,30607.0
4WOJhT9B1ew,2013-02-14T21:43:52Z,PT6M32S,158841.0
LX-RyB_YC-s,2013-11-11T07:39:45Z,PT23M16S,
n5pVz6yJkIk,2013-08-07T18:53:12Z,PT2M27S,2156.0
vcfU4XpLNfE,2013-04-18T08:43:17Z,PT27S,1212.0
h73o_UQq0OI,2013-03-22T10:55:24Z,PT3M32S,206072.0
49FopVS_ZvA,2013-02-01T15:43:48Z,PT37S,44044.0
0fjvGLKzfhQ,2013-02-18T15:01:06Z,PT9M15S,299924.0
YIVarZeObQo,2013-09-30T07:15:55Z,PT6M51S,1741378.0
w0ZEpzD1k_k,2013-11-06T19:21:11Z,PT3M55S,493783.0
67P94248F_4,2013-01-04T10:14:47Z,PT3M31S,224128.0
QLjg2R-QBcs,2013-08-21T19:50:39Z,PT50S,22527.0
_uNi_go6Z6A,2013-03-28T14:06:31Z,PT2M13S,175498.0
B2TDbNWFRmY,2013-03-26T17:22:22Z,PT2M44S,8060.0
YO4ULN9X5XU,2013-06-11T16:35:14Z,PT42M1S,
tcmEkjLwtG8,2013-12-30T13:58:00Z,PT49S,383457.0
0X3VnZahlIA,2013-10-23T10:20:40Z,PT2M36S,1380.0
LnyE0SzHT_E,2013-01-29T00:16:52Z,PT8M9S,32134.0
